id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,margin
8471,Brisbane Lions,2010.0,154.0,Essendon Bombers,21,W,9.0,11.0,6.0,12.0,18.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,8.0,15.0,0.0,0.0,3.0,0.0,0.0,84.0,44421.0,2010-08-22,90.0,27.0
525684,North Melbourne Kangaroos,1996.0,129.0,St Kilda Saints,1,W,24.0,12.0,5.0,3.0,10.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45877.0,1996-03-30,75.0,24.0
72904,Carlton Blues,2010.0,131.0,Geelong Cats,21,L,6.0,11.0,7.0,7.0,13.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,11.0,2.0,0.0,2.0,0.0,1.0,83.0,44941.0,2010-08-20,87.0,-42.0
84115,Carlton Blues,2010.0,3.0,Geelong Cats,21,L,31.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,68.0,43693.0,2010-08-20,24.0,-42.0
133166,Fremantle Dockers,2010.0,8.0,Hawthorn Hawks,21,L,30.0,1.0,2.0,11.0,7.0,0.0,0.0,12.0,6.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,89.0,43563.0,2010-08-21,61.0,-116.0
42007,Fremantle Dockers,2010.0,58.0,Hawthorn Hawks,21,L,5.0,9.0,6.0,6.0,10.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,4.0,12.0,0.0,0.0,2.0,0.0,0.0,91.0,44122.0,2010-08-21,63.0,-116.0
521206,Carlton Blues,1991.0,14.0,Essendon Bombers,22,L,16.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45370.0,1991-08-17,24.0,-4.0
549690,Brisbane Lions,1999.0,106.0,Western Bulldogs,SF,W,23.0,13.0,5.0,1.0,9.0,2.0,0.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,8.0,0.0,2.0,3.0,0.0,0.0,84.0,45669.0,1999-09-11,83.0,53.0
378048,Melbourne Demons,2010.0,69.0,Port Adelaide Power,21,L,14.0,13.0,4.0,2.0,10.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,7.0,8.0,1.0,0.0,1.0,0.0,0.0,85.0,43758.0,2010-08-22,61.0,-29.0
521272,Richmond Tigers,1996.0,80.0,Essendon Bombers,1,L,35.0,9.0,2.0,3.0,7.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45370.0,1996-03-30,48.0,-18.0
56268,Melbourne Demons,2010.0,60.0,Port Adelaide Power,21,L,8.0,12.0,7.0,8.0,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,3.0,0.0,0.0,89.0,43849.0,2010-08-22,81.0,-29.0
37859,Port Adelaide Power,2010.0,170.0,Melbourne Demons,21,W,1.0,14.0,3.0,13.0,22.0,0.0,0.0,0.0,4.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,79.0,43537.0,2010-08-22,92.0,29.0
72561,Port Adelaide Power,2010.0,68.0,Melbourne Demons,21,W,39.0,10.0,6.0,4.0,9.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,9.0,1.0,0.0,3.0,0.0,0.0,87.0,45214.0,2010-08-22,76.0,29.0
93700,Richmond Tigers,2010.0,61.0,St Kilda Saints,21,L,20.0,11.0,2.0,9.0,15.0,0.0,2.0,0.0,4.0,2.0,6.0,4.0,3.0,2.0,2.0,0.0,7.0,14.0,0.0,0.0,1.0,0.0,1.0,87.0,44538.0,2010-08-21,71.0,-21.0
24479,Richmond Tigers,2010.0,174.0,St Kilda Saints,21,L,17.0,8.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,0.0,1.0,70.0,44590.0,2010-08-21,45.0,-21.0
72087,St Kilda Saints,2010.0,158.0,Richmond Tigers,21,W,23.0,11.0,7.0,2.0,8.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,5.0,1.0,0.0,0.0,87.0,44239.0,2010-08-21,89.0,21.0
6705,St Kilda Saints,2010.0,79.0,Richmond Tigers,21,W,32.0,5.0,5.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,2.0,0.0,0.0,84.0,44460.0,2010-08-21,54.0,21.0
114645,St Kilda Saints,2010.0,91.0,Richmond Tigers,21,W,24.0,6.0,4.0,8.0,9.0,0.0,1.0,0.0,6.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,5.0,10.0,0.0,1.0,1.0,0.0,0.0,73.0,43719.0,2010-08-21,63.0,21.0
591380,St Kilda Saints,1996.0,192.0,North Melbourne Kangaroos,1,L,23.0,12.0,8.0,2.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45682.0,1996-03-30,88.0,-24.0
530199,St Kilda Saints,1996.0,22.0,North Melbourne Kangaroos,1,L,15.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45942.0,1996-03-30,25.0,-24.0
501545,Sydney Swans,1996.0,28.0,Adelaide Crows,1,L,39.0,13.0,5.0,5.0,13.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45591.0,1996-03-31,70.0,-90.0
480064,West Coast Eagles,2010.0,9.0,North Melbourne Kangaroos,21,L,41.0,8.0,3.0,5.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,86.0,45032.0,2010-08-22,48.0,-16.0
